parameter_key,formal_value,unit,status,source_grade,source_id,source_title,journal_or_institution,year,doi,url,page_or_section,original_value,original_unit,transformation,transformation_formula,cross_validation_source,uncertainty_note,paper_use,cost_boundary,source_conflict_status
utilization_storage.storage_cost_per_ton,55,CNY/tCO2,DERIVED_FROM_EMPIRICAL,A,S04,"Large-Scale Carbon Dioxide Storage in Salt Caverns: Evaluation of Operation, Safety, and Potential in China",Engineering,2024,10.1016/j.eng.2024.06.013,https://www.engineering.org.cn/engi/EN/10.1016/j.eng.2024.06.013,(3) Decreasing cost for carbon injection,50–60,CNY/tCO2,"midpoint(50,60)",(50+60)/2=55,Crossref metadata; publisher full text,"Midpoint of published other-CCUS injection-cost range; not national full-chain storage cost. Assigned as a reduced-form flow cost under protocol13 and user scalar-calibration decision14. Source does not provide a detailed capital/operating split; OPEX_ONLY describes model accounting, not a proven source engineering decomposition. No additional storage CAPEX or capital-recovery charge is constructed.",FORMAL_INJECTION_COST_PROXY_PER_PROTOCOL_SECTION13,OPEX_ONLY,NO_CONFLICT
bargaining.co2_seller_weight,.5,dimensionless,MODEL_ASSUMPTION,,USER_SPEC_SECTION_7,User-authorized source-backed protocol,,,,,7,.5,dimensionless,identity,formal_value=original_value,,Model assumption; not an industry observation,Explicit modeling assumption,REFERENCE_ONLY,NO_CONFLICT
bargaining.storage_provider_weight,.5,dimensionless,MODEL_ASSUMPTION,,USER_SPEC_SECTION_7,User-authorized source-backed protocol,,,,,7,.5,dimensionless,identity,formal_value=original_value,,Model assumption; not an industry observation,Explicit modeling assumption,REFERENCE_ONLY,NO_CONFLICT
joint_venture.theta_C,.5,dimensionless,MODEL_ASSUMPTION,,USER_SPEC_SECTION_7,User-authorized source-backed protocol,,,,,7,.5,dimensionless,identity,formal_value=original_value,,Model assumption; not an industry observation,Explicit modeling assumption,REFERENCE_ONLY,NO_CONFLICT
joint_venture.theta_T,.2,dimensionless,MODEL_ASSUMPTION,,USER_SPEC_SECTION_7,User-authorized source-backed protocol,,,,,7,.2,dimensionless,identity,formal_value=original_value,,Model assumption; not an industry observation,Explicit modeling assumption,REFERENCE_ONLY,NO_CONFLICT
joint_venture.theta_U,.3,dimensionless,MODEL_ASSUMPTION,,USER_SPEC_SECTION_7,User-authorized source-backed protocol,,,,,7,.3,dimensionless,identity,formal_value=original_value,,Model assumption; not an industry observation,Explicit modeling assumption,REFERENCE_ONLY,NO_CONFLICT
transport_market.market_price_per_ton,125,CNY/tCO2,MODEL_ASSUMPTION,,USER_TRANSPORT_DECISION_20260920,User transport classification decision,,,,,,125,CNY/tCO2,identity,formal_value=original_value,,No verified Grade A/A- evidence was found establishing 125 CNY/tCO2 as an observed uniform Chinese CCUS transport tariff. It is retained only as a transparent transfer-price assumption.,Internal transport-service transfer-price benchmark,REFERENCE_ONLY,NO_CONFLICT
scenario_domain.transport_market_price,"[75,200]",CNY/tCO2,DESIGN_RANGE_ASSUMPTION,,USER_TRANSPORT_DECISION_20260920,User transport classification decision,,,,,,"[75,200]",CNY/tCO2,identity,formal_value=original_value,,Contractual pricing design range; not an empirical confidence interval or Chinese tariff distribution.,Scenario domain for contractual transport-service pricing,REFERENCE_ONLY,NO_CONFLICT
transport.c_tr_pipeline,0.2584,CNY/(tCO2 km),DERIVED_FROM_EMPIRICAL,A,S03,Comparative life cycle assessment of CO2 onshore transport in China: Pipeline or tanker truck?,Journal of CO2 Utilization,2025,10.1016/j.jcou.2025.103057,https://doi.org/10.1016/j.jcou.2025.103057,"Sections 2.2, 2.3.1, 3.1; Table 2",0.2584,CNY/(tCO2 km),Published life-cycle model output; equipment plus maintenance plus electricity,0.2163 + 0.0319 + 0.0102 = 0.2584,Publisher full-text HTML independently read; Table 2; post_u_capex/pipeline_browser_sections.txt,"Scenario-derived life-cycle benchmark, not measured operating expense or tariff. Source assumptions: 20 years, 8%, 2022 prices, 250 km, 600000 t/year. Compressor construction and electricity included; no intermediate booster stations. Transfer to 109 km explicitly authorized by user; not an engineering re-estimate.",Verified source coefficient for user-authorized transport resource-cost benchmark,LEVELIZED_CAPEX_PLUS_OPEX,NO_CONFLICT
source_sink_distance,109,km,EMPIRICAL,A-,S11,中国二氧化碳捕集利用与封存（CCUS）年度报告（2023）,中国21世纪议程管理中心; 全球碳捕集与封存研究院; 清华大学,2023,,,Section 2.1; printed p.11; PDF p.19,109,km,identity,formal_value=original_value,User-selected anchor; local authoritative report visually verified; owner/NEA primary-source cross-check pending,UK-China January 2024 report Table 2-3 lists 108 km under construction; 2023 annual report states 109 km built. Possible planned/as-built difference is unverified. User-fixed 109 retained; do not average or treat pipeline design capacity as realized annual flow.,Physical source-sink anchor for Qilu Petrochemical-Shengli Oilfield; overall source audit incomplete,REFERENCE_ONLY,NO_CONFLICT
