year,C_action_mass,U_action_mass,asymmetric_action_mass
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.1860488176208273,0.1860488176208273,0.0
6,0.0,0.0,0.0
7,0.18981069618059682,0.18981069618059682,0.0
8,0.0,0.0,0.0
9,0.1549189114783373,0.1549189114783373,0.0
10,0.0,0.0,0.0
11,0.11853851108250074,0.11853851108250074,0.0
12,0.0,0.0,0.0
13,0.08868591717148079,0.08868591717148079,0.0
14,0.0,0.0,0.0
15,0.06586880868988727,0.06586880868988727,0.0
16,0.0,0.0,0.0
17,0.048873211563584776,0.048873211563584776,0.0
18,0.0,0.0,0.0
19,0.03632760629593444,0.03632760629593444,0.0
20,0.0,0.037912761606751236,0.037912761606751236
21,0.02708387513678495,0.0,0.02708387513678495
22,0.0,0.0,0.0
23,0.0055263013876912905,0.0,0.0055263013876912905
24,0.0,0.0,0.0
25,0.007520627256194396,0.007520627256194396,0.0
26,0.0016110673943709939,0.0,0.0016110673943709939
27,0.0,0.0,0.0
28,0.0,0.0,0.0
29,0.0,0.0,0.0
