capex_C_bin,capex_U_bin,n,mean_prob_gap,mean_asym_mass,share_asym
0,0,256,0.0002866062672517403,0.0036206424952091878,0.16796875
0,1,256,0.0003657727711479969,0.008527487167275444,0.2265625
0,2,256,0.0004309047818122679,0.034278618506667496,0.30078125
0,3,256,0.00033173327302833157,0.05861110422013338,0.26953125
1,0,256,0.0002753801391693735,0.0026829304443985115,0.125
1,1,256,0.00035087389657181616,0.007568048781159747,0.25
1,2,256,0.0005427768266774067,0.04665881418305553,0.328125
1,3,256,0.0003879798331409309,0.08025821189748725,0.265625
2,0,256,0.00032187335543661317,0.00320660134428613,0.1171875
2,1,256,0.0003032603126912679,0.008371052157953822,0.18359375
2,2,256,0.0005882458406707217,0.03501682901149361,0.3515625
2,3,256,0.0004337849566133814,0.05842500374713355,0.28125
3,0,256,0.00019304726262109502,0.0016578292744400362,0.109375
3,1,256,0.0003420862618565487,0.0074425704506255385,0.1953125
3,2,256,0.0007105555596993397,0.040145847561506215,0.3828125
3,3,256,0.0006471008241732729,0.07919633952904985,0.33984375
