carbon_bin,eta_bin,n,mean_prob_gap,mean_asym_mass,share_asym
0,0,256,0.0019074381903460653,0.0851675332003814,0.55859375
0,1,256,0.0015034363150931004,0.07285207772204036,0.5390625
0,2,256,0.0011374299221728508,0.08706631719118597,0.51953125
0,3,256,0.0009317933377561175,0.08279904252515727,0.54296875
1,0,256,0.0004572186061233886,0.036727083332795896,0.54296875
1,1,256,0.0002591244086014876,0.0450335577626274,0.39453125
1,2,256,0.00013512073706702316,0.02707398979569674,0.2890625
1,3,256,5.447423794919127e-05,0.011999530609799441,0.16796875
2,0,256,0.00010201889428424317,0.024027318357600105,0.25390625
2,1,256,2.076337625661357e-05,0.0027153528833976483,0.07421875
2,2,256,0.0,0.0,0.0
2,3,256,0.0,0.0,0.0
3,0,256,3.164136912022896e-06,0.00020612739119306992,0.01171875
3,1,256,0.0,0.0,0.0
3,2,256,0.0,0.0,0.0
3,3,256,0.0,0.0,0.0
