found,root_count,root_index,explanation,mode,variable,boundary_type,min_response,max_response,closest_point,closest_response,left_endpoint_response,right_endpoint_response,threshold,min_abs_distance,min_signed_distance,threshold_side,direction,metric_family,increasing_steps,decreasing_steps,descriptive_flat_tolerance,monotonicity,rank_within_unit
False,0,,No crossing detected on the prescribed 1001-point exact grid within the specified domain.,JOINT_VENTURE,carbon_scale,COMMIT_NOW_C_VALUE_ZERO,57.082675586920686,13244.388045324118,0.5,57.082675586920686,57.082675586920686,13244.388045324118,0.0,57.082675586920686,57.082675586920686,above,increasing,NPV_million_CNY,1000.0,0.0,1.882140743038593e-10,nondecreasing,1
False,0,,No crossing detected on the prescribed 1001-point exact grid within the specified domain.,TRANSFER,carbon_scale,COMMIT_NOW_U_VALUE_ZERO,503.47114598694367,14612.188008370624,0.5,503.47114598694367,503.47114598694367,14612.188008370624,0.0,503.47114598694367,503.47114598694367,above,increasing,NPV_million_CNY,1000.0,0.0,2.0765168085817185e-10,nondecreasing,2
False,0,,No crossing detected on the prescribed 1001-point exact grid within the specified domain.,JOINT_VENTURE,carbon_scale,COMMIT_NOW_U_VALUE_ZERO,696.4886049674101,11539.384131195777,0.5,696.4886049674101,696.4886049674101,11539.384131195777,0.0,696.4886049674101,696.4886049674101,above,increasing,NPV_million_CNY,1000.0,0.0,1.6398451139133068e-10,nondecreasing,3
False,0,,No crossing detected on the prescribed 1001-point exact grid within the specified domain.,JOINT_VENTURE,carbon_scale,COMMIT_NOW_SYSTEM_NPV_ZERO,776.4043507890985,30081.52739464954,0.5,776.4043507890985,776.4043507890985,30081.52739464954,0.0,776.4043507890985,776.4043507890985,above,increasing,NPV_million_CNY,1000.0,0.0,4.2748421541673366e-10,nondecreasing,4
False,0,,No crossing detected on the prescribed 1001-point exact grid within the specified domain.,STATE_OWNED,carbon_scale,COMMIT_NOW_SYSTEM_NPV_ZERO,776.4043507890985,30081.52739464954,0.5,776.4043507890985,776.4043507890985,30081.52739464954,0.0,776.4043507890985,776.4043507890985,above,increasing,NPV_million_CNY,1000.0,0.0,4.2748421541673366e-10,nondecreasing,4
False,0,,No crossing detected on the prescribed 1001-point exact grid within the specified domain.,TRANSFER,carbon_scale,COMMIT_NOW_C_VALUE_ZERO,877.756860272658,14986.473722656336,0.5,877.756860272658,877.756860272658,14986.473722656336,0.0,877.756860272658,877.756860272658,above,increasing,NPV_million_CNY,1000.0,0.0,2.1297060076586171e-10,nondecreasing,6
False,0,,No crossing detected on the prescribed 1001-point exact grid within the specified domain.,TRANSFER,carbon_scale,COMMIT_NOW_SYSTEM_NPV_ZERO,1560.0709555784688,30070.46878480107,0.5,1560.0709555784688,1560.0709555784688,30070.46878480107,0.0,1560.0709555784688,1560.0709555784688,above,increasing,NPV_million_CNY,1000.0,0.0,4.2732706311882494e-10,nondecreasing,7
False,0,,No crossing detected on the prescribed 1001-point exact grid within the specified domain.,JOINT_VENTURE,effective_abatement_fraction,COMMIT_NOW_SYSTEM_NPV_ZERO,1868.5207375168172,5508.908693275882,0.5,1868.5207375168172,1868.5207375168172,5508.908693275882,0.0,1868.5207375168172,1868.5207375168172,above,increasing,NPV_million_CNY,1000.0,0.0,7.828630107945687e-11,nondecreasing,8
False,0,,No crossing detected on the prescribed 1001-point exact grid within the specified domain.,STATE_OWNED,effective_abatement_fraction,COMMIT_NOW_SYSTEM_NPV_ZERO,1868.5207375168172,5508.908693275882,0.5,1868.5207375168172,1868.5207375168172,5508.908693275882,0.0,1868.5207375168172,1868.5207375168172,above,increasing,NPV_million_CNY,1000.0,0.0,7.828630107945687e-11,nondecreasing,8
False,0,,No crossing detected on the prescribed 1001-point exact grid within the specified domain.,TRANSFER,effective_abatement_fraction,COMMIT_NOW_SYSTEM_NPV_ZERO,2542.6906415712847,5913.012048845027,0.5,2542.6906415712847,2542.6906415712847,5913.012048845027,0.0,2542.6906415712847,2542.6906415712847,above,increasing,NPV_million_CNY,1000.0,0.0,8.402895515537561e-11,nondecreasing,10
False,0,,No crossing detected on the prescribed 1001-point exact grid within the specified domain.,JOINT_VENTURE,capex_U_multiplier,COMMIT_NOW_SYSTEM_NPV_ZERO,3096.890205534726,3552.461634106154,1.3,3096.890205534726,3552.461634106154,3096.890205534726,0.0,3096.890205534726,3096.890205534726,above,decreasing,NPV_million_CNY,0.0,1000.0,5.0483516163611656e-11,nonincreasing,11
False,0,,No crossing detected on the prescribed 1001-point exact grid within the specified domain.,STATE_OWNED,capex_U_multiplier,COMMIT_NOW_SYSTEM_NPV_ZERO,3096.890205534726,3552.461634106154,1.3,3096.890205534726,3552.461634106154,3096.890205534726,0.0,3096.890205534726,3096.890205534726,above,decreasing,NPV_million_CNY,0.0,1000.0,5.0483516163611656e-11,nonincreasing,11
