mode,parameter,response,spearman,pearson
JOINT_VENTURE,transport_market_price,option_value,0.0032478304250515735,-0.0005447855365234768
JOINT_VENTURE,transport_market_price,prob_gap,0.011518501881422371,0.0026366469953893247
JOINT_VENTURE,transport_market_price,tau_gap,0.006175076333016247,-0.010721735710720505
JOINT_VENTURE,transport_market_price,asym_mass,0.0103697399264708,0.010828990768681037
JOINT_VENTURE,effective_abatement_fraction,option_value,-0.20507509934752371,-0.186125398887115
JOINT_VENTURE,effective_abatement_fraction,prob_gap,-0.14992646959021402,-0.12956754878202162
JOINT_VENTURE,effective_abatement_fraction,tau_gap,0.06257438534477049,0.019197620197807352
JOINT_VENTURE,effective_abatement_fraction,asym_mass,-0.1469749959102787,-0.030944141562971733
JOINT_VENTURE,storage_subsidy,option_value,-0.13395238852941782,-0.16600383074689434
JOINT_VENTURE,storage_subsidy,prob_gap,-0.054724161852267826,-0.07089054012192852
JOINT_VENTURE,storage_subsidy,tau_gap,-0.0009507464915690928,0.042084338815588915
JOINT_VENTURE,storage_subsidy,asym_mass,-0.04824994050278632,-0.0472593703468933
JOINT_VENTURE,capex_C_multiplier,option_value,0.055735589720283585,0.06563610587688212
JOINT_VENTURE,capex_C_multiplier,prob_gap,0.024619912412889793,0.04134930926061339
JOINT_VENTURE,capex_C_multiplier,tau_gap,0.012900149186036287,-0.006870568057380412
JOINT_VENTURE,capex_C_multiplier,asym_mass,0.01924198399969629,0.009240592802126588
JOINT_VENTURE,capex_U_multiplier,option_value,0.07165001719191705,0.1127926909886837
JOINT_VENTURE,capex_U_multiplier,prob_gap,0.15338468153153353,0.0759983239389245
JOINT_VENTURE,capex_U_multiplier,tau_gap,-0.34253402799464727,-0.1819037696001977
JOINT_VENTURE,capex_U_multiplier,asym_mass,0.18876462616895986,0.18032372900103477
JOINT_VENTURE,carbon_scale,option_value,-0.7808013087494176,-0.7356572312886847
JOINT_VENTURE,carbon_scale,prob_gap,-0.5263767069798183,-0.46377277220952134
JOINT_VENTURE,carbon_scale,tau_gap,0.23007200873011857,0.17942245640841958
JOINT_VENTURE,carbon_scale,asym_mass,-0.5145888753231537,-0.22066773728813036
