mode,parameter,response,spearman,pearson
STATE_OWNED,transport_market_price,option_value,0.0038265041603966557,-0.00020540510501619895
STATE_OWNED,transport_market_price,prob_gap,,
STATE_OWNED,transport_market_price,tau_gap,,
STATE_OWNED,transport_market_price,asym_mass,,
STATE_OWNED,effective_abatement_fraction,option_value,-0.2168019284765038,-0.18619417208354663
STATE_OWNED,effective_abatement_fraction,prob_gap,,
STATE_OWNED,effective_abatement_fraction,tau_gap,,
STATE_OWNED,effective_abatement_fraction,asym_mass,,
STATE_OWNED,storage_subsidy,option_value,-0.14371242469127687,-0.16686262671634156
STATE_OWNED,storage_subsidy,prob_gap,,
STATE_OWNED,storage_subsidy,tau_gap,,
STATE_OWNED,storage_subsidy,asym_mass,,
STATE_OWNED,capex_C_multiplier,option_value,0.06064015080735185,0.06576393221086038
STATE_OWNED,capex_C_multiplier,prob_gap,,
STATE_OWNED,capex_C_multiplier,tau_gap,,
STATE_OWNED,capex_C_multiplier,asym_mass,,
STATE_OWNED,capex_U_multiplier,option_value,0.11243328439364343,0.1276672867040571
STATE_OWNED,capex_U_multiplier,prob_gap,,
STATE_OWNED,capex_U_multiplier,tau_gap,,
STATE_OWNED,capex_U_multiplier,asym_mass,,
STATE_OWNED,carbon_scale,option_value,-0.8209427397660459,-0.7421103094039035
STATE_OWNED,carbon_scale,prob_gap,,
STATE_OWNED,carbon_scale,tau_gap,,
STATE_OWNED,carbon_scale,asym_mass,,
