mode,parameter,response,spearman,pearson
TRANSFER,transport_market_price,option_value,-0.2045532442404624,-0.1946733620305589
TRANSFER,transport_market_price,prob_gap,,
TRANSFER,transport_market_price,tau_gap,,
TRANSFER,transport_market_price,asym_mass,,
TRANSFER,effective_abatement_fraction,option_value,0.0712195921926803,0.007263448242171799
TRANSFER,effective_abatement_fraction,prob_gap,,
TRANSFER,effective_abatement_fraction,tau_gap,,
TRANSFER,effective_abatement_fraction,asym_mass,,
TRANSFER,storage_subsidy,option_value,0.1594936950351866,0.14040286229442311
TRANSFER,storage_subsidy,prob_gap,,
TRANSFER,storage_subsidy,tau_gap,,
TRANSFER,storage_subsidy,asym_mass,,
TRANSFER,capex_C_multiplier,option_value,0.29551781566206564,0.3106257397094807
TRANSFER,capex_C_multiplier,prob_gap,,
TRANSFER,capex_C_multiplier,tau_gap,,
TRANSFER,capex_C_multiplier,asym_mass,,
TRANSFER,capex_U_multiplier,option_value,-0.0022027078552285884,0.05010312883277662
TRANSFER,capex_U_multiplier,prob_gap,,
TRANSFER,capex_U_multiplier,tau_gap,,
TRANSFER,capex_U_multiplier,asym_mass,,
TRANSFER,carbon_scale,option_value,-0.10140250406464832,-0.22857722460984453
TRANSFER,carbon_scale,prob_gap,,
TRANSFER,carbon_scale,tau_gap,,
TRANSFER,carbon_scale,asym_mass,,
